Dvex.abundance	Location	Year	Month	Sampling.site	Filter.number	Rep.number	Ct.value	calib.curve
high	Creran	2018	July	B	3	1	39.66	10720202
high	Creran	2018	July	B	3	2	38.29	10720202
high	Creran	2018	July	B	3	3	42.20	10720202
high	Creran	2018	July	B	4	1	38.30	10720202
high	Creran	2018	July	B	4	2	NA	10720202
high	Creran	2018	July	B	4	3	NA	10720202
high	Creran	2018	July	B	5	1	40.28	10720202
high	Creran	2018	July	B	5	2	NA	10720202
high	Creran	2018	July	B	5	3	NA	10720202
high	Creran	2018	July	C	1	1	39.38	10720202
high	Creran	2018	July	C	1	2	NA	10720202
high	Creran	2018	July	C	1	3	40.48	10720202
high	Creran	2018	July	C	2	1	37.69	10720202
high	Creran	2018	July	C	2	2	38.23	10720202
high	Creran	2018	July	C	2	3	42.64	10720202
high	Creran	2018	July	C	3	1	38.973	10720202
high	Creran	2018	July	C	3	2	38.57	10720202
high	Creran	2018	July	C	3	3	40.698	10720202
high	Creran	2018	July	C	4	1	44.211	10720202
high	Creran	2018	July	C	4	2	39.969	10720202
high	Creran	2018	July	C	4	3	NA	10720202
high	Creran	2018	July	C	5	1	35.765	10720202
high	Creran	2018	July	C	5	2	35.323	10720202
high	Creran	2018	July	C	5	3	35.306	10720202
high	Creran	2018	July	D	1	1	35.854	10720202
high	Creran	2018	July	D	1	2	36.599	10720202
high	Creran	2018	July	D	1	3	36.482	10720202
high	Creran	2018	July	D	2	1	38.499	10720202
high	Creran	2018	July	D	2	2	NA	10720202
high	Creran	2018	July	D	2	3	NA	10720202
high	Creran	2018	July	D	3	1	NA	10720202
high	Creran	2018	July	D	3	2	38.84	10720202
high	Creran	2018	July	D	3	3	NA	10720202
high	Creran	2018	July	D	4	1	NA	10720202
high	Creran	2018	July	D	4	2	39.24	10720202
high	Creran	2018	July	D	4	3	38.91	10720202
high	Creran	2018	July	D	5	1	37.448	10720202
high	Creran	2018	July	D	5	2	38.92	10720202
high	Creran	2018	July	D	5	3	NA	10720202
high	Creran	2018	November	A	1	1	35.825	90720201
high	Creran	2018	November	A	1	2	35.686	90720201
high	Creran	2018	November	A	1	3	36.297	90720201
high	Creran	2018	November	A	2	1	34.922	90720201
high	Creran	2018	November	A	2	2	34.711	90720201
high	Creran	2018	November	A	2	3	34.597	90720201
high	Creran	2018	November	A	3	1	35.959	90720201
high	Creran	2018	November	A	3	2	36.304	90720201
high	Creran	2018	November	A	3	3	36.46	90720201
high	Creran	2018	November	A	4	1	34.17	90720201
high	Creran	2018	November	A	4	2	34.46	90720201
high	Creran	2018	November	A	4	3	34.72	90720201
high	Creran	2018	November	A	5	1	35.512	90720201
high	Creran	2018	November	A	5	2	35.347	90720201
high	Creran	2018	November	A	5	3	35.199	90720201
high	Creran	2018	November	B	1	1	NA	90720201
high	Creran	2018	November	B	1	2	39.797	90720201
high	Creran	2018	November	B	1	3	39.392	90720201
high	Creran	2018	November	B	2	1	NA	90720201
high	Creran	2018	November	B	2	2	NA	90720201
high	Creran	2018	November	B	2	3	39.143	90720201
high	Creran	2018	November	B	3	1	NA	90720201
high	Creran	2018	November	B	3	2	NA	90720201
high	Creran	2018	November	B	3	3	NA	90720201
high	Creran	2018	November	B	4	1	NA	90720202
high	Creran	2018	November	B	4	2	41.22	90720202
high	Creran	2018	November	B	4	3	NA	90720202
high	Creran	2018	November	B	5	1	NA	90720202
high	Creran	2018	November	B	5	2	NA	90720202
high	Creran	2018	November	B	5	3	NA	90720202
high	Creran	2018	November	C	1	1	37.558	90720202
high	Creran	2018	November	C	1	2	37.907	90720202
high	Creran	2018	November	C	1	3	37.496	90720202
high	Creran	2018	November	C	2	1	NA	90720202
high	Creran	2018	November	C	2	2	38.747	90720202
high	Creran	2018	November	C	2	3	36.554	90720202
high	Creran	2018	November	C	3	1	36.847	90720202
high	Creran	2018	November	C	3	2	36.483	90720202
high	Creran	2018	November	C	3	3	36.993	90720202
high	Creran	2018	November	C	4	1	37.901	90720202
high	Creran	2018	November	C	4	2	39.304	90720202
high	Creran	2018	November	C	4	3	38.466	90720202
high	Creran	2018	November	C	5	1	36.538	90720202
high	Creran	2018	November	C	5	2	36.95	90720202
high	Creran	2018	November	C	5	3	36.99	90720202
high	Creran	2018	November	D	1	1	NA	90720202
high	Creran	2018	November	D	1	2	NA	90720202
high	Creran	2018	November	D	1	3	42.01	90720202
high	Creran	2018	November	D	2	1	NA	90720202
high	Creran	2018	November	D	2	2	42.60	90720202
high	Creran	2018	November	D	2	3	NA	90720202
high	Creran	2018	November	D	3	1	41.35	90720202
high	Creran	2018	November	D	3	2	39.86	90720202
high	Creran	2018	November	D	3	3	39.69	90720202
high	Creran	2018	November	D	4	1	NA	90720202
high	Creran	2018	November	D	4	2	NA	90720202
high	Creran	2018	November	D	4	3	NA	90720202
high	Creran	2018	November	D	5	1	NA	90720202
high	Creran	2018	November	D	5	2	NA	90720202
high	Creran	2018	November	D	5	3	NA	90720202
